date,asin,label,star_rating,review_count,bsr,top_review_title,top_review_snippet
2025-06-16,B0F7C52BVD,Chamak Dashboard,N/A,N/A,N/A,N/A,N/A
2025-06-16,B0F7C1HW2G,Chamak Tyre,N/A,N/A,N/A,N/A,N/A
2025-06-16,B0F7FQSS12,Chamak Car Body,N/A,N/A,N/A,N/A,N/A
