feature,mention_count,avg_sentiment
you,3,0.0
the polish,2,0.0
your tyre,2,0.0
a small amount,1,0.0
the manufacturer,1,0.0
dirt,1,0.0
its promise,1,0.0
this tyre polish,1,0.0
brand,1,0.0
this polish,1,0.0
car lover,1,0.0
money,1,0.0
the 500ml bottle great value,1,0.0
the overall look,1,0.0
the car,1,0.0
rain,1,0.0
day,1,0.0
the shine,1,0.0
any greasy residue,1,0.0
the tyre,1,0.0
"a rich, glossy finish",1,0.0
the result,1,0.0
a few week,1,0.0
auto spa tyre gel,1,0.0
a strong applicator,1,0.0
