feature,mention_count,avg_sentiment
this product,3,0.0
the chair,2,0.0
good product,2,0.0
that,1,0.0
plastic chair,1,0.0
interior plastic coating,1,0.0
great product,1,0.0
remove stain,1,0.0
car interior,1,0.0
plastic part,1,0.0
stain,1,0.0
oily shine,1,0.0
other product,1,0.0
natural shine,1,0.0
what,1,0.0
my car's plastic part,1,0.0
finish,1,0.0
too much shine,1,0.0
this,1,0.0
also plastic trim,1,0.0
the car,1,0.0
leather,1,0.0
plastic,1,0.0
the dashboard,1,0.0
great shine,1,0.0
