feature,mention_count,avg_sentiment
tyre,3,0.0
product,2,0.0
this polish,2,0.0
your tyre,2,0.0
good product,2,0.0
any cloth,1,0.0
this type,1,0.0
the spray bottle,1,0.0
polish,1,0.0
car wash shampo car polish,1,0.0
tyre wet,1,0.0
your drive,1,0.0
7 to 8 day,1,0.0
some time,1,0.0
the medium,1,0.0
sponge,1,0.0
the consistency,1,0.0
oily post,1,0.0
good finish,1,0.0
any cloth)2,1,0.0
microfiber,1,0.0
foam applicator,1,0.0
few points1) easy application,1,0.0
high quality,1,0.0
liquid,1,0.0
