feature,mention_count,avg_sentiment
you,10,0.0
the car,7,0.0
this,5,0.0
time,4,0.0
which,3,0.0
the surface,2,0.0
monsoon,2,0.0
my car,2,0.0
few hour,2,0.0
no dust,2,0.0
effort,2,0.0
car,2,0.0
3-4 month,1,0.0
the liquid,1,0.0
dirt,1,0.0
the result,1,0.0
a bit,1,0.0
the application process,1,0.0
this product,1,0.0
a new one,1,0.0
the metal part,1,0.0
excellent result,1,0.0
my pulser bike,1,0.0
almost 9 month,1,0.0
gel,1,0.0
