feature,mention_count,avg_sentiment
good product,3,0.0
you,2,0.0
waste,1,0.0
a while,1,0.0
which,1,0.0
many liquid,1,0.0
no bad or good smell,1,0.0
new dash,1,0.0
shine,1,0.0
showroom condition,1,0.0
your car,1,0.0
this,1,0.0
money,1,0.0
good quality scratch removel,1,0.0
price,1,0.0
cycle,1,0.0
your choice,1,0.0
not good werry bad smell,1,0.0
but smell,1,0.0
product nice,1,0.0
dust,1,0.0
smell,1,0.0
long lasting and nice finish,1,0.0
a good product,1,0.0
all,1,0.0
