keyword,score
00,0.3009535062746434
152,0.25796014823540864
152 00,0.25796014823540864
shine,0.1719734321569391
tyres,0.1719734321569391
00 152,0.12898007411770432
160,0.12898007411770432
quality,0.12898007411770432
00 subtotal,0.08598671607846956
ageing,0.08598671607846956
checkout,0.08598671607846956
clean,0.08598671607846956
clean tyres,0.08598671607846956
cost,0.08598671607846956
cost delivery,0.08598671607846956
date,0.08598671607846956
date order,0.08598671607846956
delivery,0.08598671607846956
delivery date,0.08598671607846956
easy,0.08598671607846956
includes,0.08598671607846956
including,0.08598671607846956
including tax,0.08598671607846956
initial,0.08598671607846956
lasting,0.08598671607846956
long,0.08598671607846956
long lasting,0.08598671607846956
look,0.08598671607846956
options,0.08598671607846956
order,0.08598671607846956
order total,0.08598671607846956
payment,0.08598671607846956
polish,0.08598671607846956
premature,0.08598671607846956
premature ageing,0.08598671607846956
prevents,0.08598671607846956
product,0.08598671607846956
quick,0.08598671607846956
selected,0.08598671607846956
selected options,0.08598671607846956
sheeba,0.08598671607846956
sheeba tyre,0.08598671607846956
shipping,0.08598671607846956
shipping cost,0.08598671607846956
shown,0.08598671607846956
shown checkout,0.08598671607846956
subtotal,0.08598671607846956
tax,0.08598671607846956
tax shown,0.08598671607846956
total,0.08598671607846956
total including,0.08598671607846956
tyre,0.08598671607846956
tyre shine,0.08598671607846956
00 160,0.04299335803923478
00 includes,0.04299335803923478
160 00,0.04299335803923478
160 160,0.04299335803923478
160 customers,0.04299335803923478
250ml,0.04299335803923478
250ml unique,0.04299335803923478
