timestamp,keyword,asin,price,rating,review_count,bsr,rank_page,rank_position,rank_absolute,product_url
2025-10-02T21:26:16.429291+00:00,saree,B0BQP39CZJ,,4.3 out of 5,10 ratings,"Best Sellers Rank: #42,747 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #2,177 in Women's Sarees",,,,https://www.amazon.in/dp/B0BQP39CZJ
2025-10-02T21:26:29.394751+00:00,saree,B0D4VF623W,,4.3 out of 5,3 ratings,"Best Sellers Rank: #280,865 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #16,378 in Women's Sarees",,,,https://www.amazon.in/dp/B0D4VF623W
2025-10-02T21:26:41.838568+00:00,saree,B0CRTNTNPL,,4.1 out of 5,530 ratings,"Best Sellers Rank: #3,036 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #151 in Women's Sarees",,,,https://www.amazon.in/dp/B0CRTNTNPL
2025-10-02T21:26:54.662035+00:00,saree,B0C9NNN8BH,,4.5 out of 5,12 ratings,"Best Sellers Rank: #29,692 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #1,511 in Women's Sarees",,,,https://www.amazon.in/dp/B0C9NNN8BH
2025-10-02T21:27:07.534125+00:00,saree,B09BZRDTMT,,4 out of 5,261 ratings,"Best Sellers Rank: #6,960 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #365 in Women's Sarees",,,,https://www.amazon.in/dp/B09BZRDTMT
2025-10-02T21:27:20.747938+00:00,saree,B0DNQ538X8,,4.3 out of 5,100 ratings,"Best Sellers Rank: #5,808 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #300 in Women's Sarees",,,,https://www.amazon.in/dp/B0DNQ538X8
2025-10-02T21:27:33.886783+00:00,saree,B0DV357YWC,,4.3 out of 5,69 ratings,"Best Sellers Rank: #8,531 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #439 in Women's Sarees",,,,https://www.amazon.in/dp/B0DV357YWC
2025-10-02T21:27:46.550563+00:00,saree,B0DKY8FMFN,,4 out of 5,12 ratings,"Best Sellers Rank: #39,165 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #1,999 in Women's Sarees",,,,https://www.amazon.in/dp/B0DKY8FMFN
2025-10-02T21:27:59.732104+00:00,saree,B0DB8S9KW7,,,,"Best Sellers Rank: #1,761,201 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #109,060 in Women's Sarees",,,,https://www.amazon.in/dp/B0DB8S9KW7
2025-10-02T21:28:12.538150+00:00,saree,B0FJ2YFP76,,,,"Best Sellers Rank: #59,585 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #3,090 in Women's Sarees",,,,https://www.amazon.in/dp/B0FJ2YFP76
2025-10-02T21:28:14.561870+00:00,saree,B0FKYD9928,,4.8 out of 5,8 ratings,"Best Sellers Rank: #10,297 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #532 in Women's Sarees",1.0,39.0,39.0,https://www.amazon.in/dp/B0FKYD9928
2025-10-02T21:28:28.072367+00:00,saree for women,B0F8ZLHTGK,,4.2 out of 5,704 ratings,"Best Sellers Rank: #1,266 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #50 in Women's Sarees",,,,https://www.amazon.in/dp/B0F8ZLHTGK
2025-10-02T21:28:37.466910+00:00,saree for women,B0CRYPC7XL,,4 out of 5,250 ratings,"Best Sellers Rank: #2,616 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #131 in Women's Sarees",4.0,52.0,232.0,https://www.amazon.in/dp/B0CRYPC7XL
2025-10-02T21:28:50.338000+00:00,saree for women,B0CZ9QTV8V,,3.8 out of 5,742 ratings,Best Sellers Rank: #421 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #9 in Women's Sarees,,,,https://www.amazon.in/dp/B0CZ9QTV8V
2025-10-02T21:28:52.631206+00:00,saree for women,B0D8GYHB4M,,3.7 out of 5,"1,272 ratings",Best Sellers Rank: #208 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4 in Women's Sarees,1.0,10.0,10.0,https://www.amazon.in/dp/B0D8GYHB4M
2025-10-02T21:29:05.159504+00:00,saree for women,B0DBVLNP1B,,4.1 out of 5,152 ratings,"Best Sellers Rank: #4,498 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #222 in Women's Sarees",,,,https://www.amazon.in/dp/B0DBVLNP1B
2025-10-02T21:29:17.988792+00:00,saree for women,B0D3F9QDNX,,3.8 out of 5,11 ratings,"Best Sellers Rank: #187,974 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #10,835 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F9QDNX
2025-10-02T21:29:30.678490+00:00,saree for women,B0D3F7JZH3,,3.4 out of 5,18 ratings,"Best Sellers Rank: #75,074 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4,003 in Women's Sarees",,,,https://www.amazon.in/dp/B0D3F7JZH3
2025-10-02T21:29:32.978967+00:00,saree for women,B0D45KZNYM,,3.8 out of 5,759 ratings,Best Sellers Rank: #397 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #7 in Women's Sarees,1.0,33.0,33.0,https://www.amazon.in/dp/B0D45KZNYM
2025-10-02T21:29:45.556643+00:00,saree for women,B07GWRZ29S,,3.9 out of 5,922 ratings,"Best Sellers Rank: #13,978 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #716 in Women's Sarees",,,,https://www.amazon.in/dp/B07GWRZ29S
2025-10-02T21:29:52.484516+00:00,saree for women,B0DV4HB9D2,,4.2 out of 5,141 ratings,"Best Sellers Rank: #1,354 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #57 in Women's Sarees",3.0,27.0,147.0,https://www.amazon.in/dp/B0DV4HB9D2
2025-10-02T21:30:04.361340+00:00,saree for women,B0CXM8L2CK,,4.1 out of 5,317 ratings,"Best Sellers Rank: #2,689 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #130 in Women's Sarees",5.0,29.0,269.0,https://www.amazon.in/dp/B0CXM8L2CK
2025-10-02T21:30:17.297916+00:00,saree for women,B0BFHH48C5,,4 out of 5,47 ratings,"Best Sellers Rank: #16,815 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #856 in Women's Sarees",,,,https://www.amazon.in/dp/B0BFHH48C5
2025-10-02T21:30:30.262900+00:00,saree for women,B0BF54WCRW,,3.9 out of 5,25 ratings,"Best Sellers Rank: #79,909 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #4,284 in Women's Sarees",,,,https://www.amazon.in/dp/B0BF54WCRW
2025-10-02T21:30:43.023476+00:00,saree for women,B0BQP39CZJ,,4.3 out of 5,10 ratings,"Best Sellers Rank: #42,747 in Clothing & Accessories ( See Top 100 in Clothing & Accessories ) #2,177 in Women's Sarees",,,,https://www.amazon.in/dp/B0BQP39CZJ
