timestamp,keyword,asin,price,rating,review_count,bsr,rank_page,rank_position,rank_absolute,product_url
2025-09-27T15:41:56.860931+00:00,car polish spray,B089Z96M1T,₹550.00,4.4 out of 5,399 ratings,"Best Sellers Rank #1,129 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #13 in Dashboard & Trim Care",,,,https://www.amazon.in/dp/B089Z96M1T
2025-09-27T15:41:59.022659+00:00,car polish spray,B00TC5IA2E,₹150.00,4 out of 5,"6,012 ratings",Best Sellers Rank #309 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #4 in Dashboard & Trim Care,1.0,36.0,36.0,https://www.amazon.in/dp/B00TC5IA2E
2025-09-27T15:42:11.044033+00:00,car polish spray,B00TC5I66Y,₹138.00,4 out of 5,"40,737 ratings",Best Sellers Rank #34 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #1 in Polishes,,,,https://www.amazon.in/dp/B00TC5I66Y
2025-09-27T15:42:13.237344+00:00,car polish spray,B0B38V7RKG,₹461.00,4.2 out of 5,140 ratings,"Best Sellers Rank: #2,522 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #24 in Waxes",1.0,1.0,1.0,https://www.amazon.in/dp/B0B38V7RKG
2025-09-27T15:42:15.372197+00:00,car polish spray,B07XYPS3PS,"₹1,199.00",4 out of 5,"25,996 ratings",Best Sellers Rank #188 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #21 in Paint Care,1.0,5.0,5.0,https://www.amazon.in/dp/B07XYPS3PS
2025-09-27T15:42:17.456551+00:00,car polish spray,B0DYYLR6G2,₹349.00,4.4 out of 5,105 ratings,Best Sellers Rank #774 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #7 in Cleaning Kits,1.0,31.0,31.0,https://www.amazon.in/dp/B0DYYLR6G2
2025-09-27T15:42:19.513011+00:00,car polish spray,B004HCOE8Q,₹599.00,4.1 out of 5,"4,144 ratings",Best Sellers Rank #446 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #15 in Polishes,1.0,17.0,17.0,https://www.amazon.in/dp/B004HCOE8Q
2025-09-27T15:42:21.274258+00:00,car polish spray,B0FP34FT52,₹711.00,3.6 out of 5,99 ratings,Best Sellers Rank #186 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #4 in Polishes,1.0,10.0,10.0,https://www.amazon.in/dp/B0FP34FT52
2025-09-27T15:42:33.479307+00:00,car polish spray,B00XCCQ4WG,"₹2,029.00",4.3 out of 5,"8,059 ratings",Best Sellers Rank #90 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #2 in Polishes #5 in Dashboard & Trim Care,,,,https://www.amazon.in/dp/B00XCCQ4WG
2025-09-27T15:42:45.641663+00:00,car polish spray,B0DP2TXTJB,₹829.00,4 out of 5,419 ratings,Best Sellers Rank: #247 in Car & Motorbike ( See Top 100 in Car & Motorbike ) #4 in Waxes,,,,https://www.amazon.in/dp/B0DP2TXTJB
